created_at,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_color,status_created_at,status_favorited,status_hashtags,status_id,status_lang,status_retweet_count,status_retweeted,status_text,statuses_count,time_zone,utc_offset
Mon Aug 18 15:10:40 +0000 2014,242,145,251,False,2742275191,en,"Plano, TX",9AE4E8,Fri Jun 26 17:49:26 +0000 2015,False,NA,614490668157632512,fr,1,False,RT @RoweInArt: Inspiration shopping with @KayleyPults @katie_specht minus 2 - looks like paper mâché and doilies http://t.co/rlyJoeagY1,440,NA,NA
Sat Apr 02 15:45:22 +0000 2011,3043,567,776,False,276068574,en,NA,C0DEED,Fri Jul 10 23:15:02 +0000 2015,False,[u'thanksunclesam'],619646038081572865,en,1,False,My favorite memory from my childhood is the one where I don't pay any bills for anything... ever...  😔😒 #thanksunclesam,6678,Central Time (US & Canada),-18000
Sun Apr 03 16:29:27 +0000 2011,19458,109,267,True,276563567,en,PA ✈️ LDN,642D8B,Sun Jul 12 14:08:35 +0000 2015,False,NA,620233293334740992,en,14684,False,RT @Zendaya: It's ok to be in love with YOURSELF.,23547,Eastern Time (US & Canada),-14400
Mon Mar 30 22:50:56 +0000 2009,4068,589,294,True,27751988,en,"Seoul, R.O.K.",0D040D,Sun Jul 12 06:31:23 +0000 2015,False,NA,620118238362386432,en,2,False,RT @RandyRizo: @kmrndvs @RobertAyala_ @SoulSoothing_ us in the whip  https://t.co/WOes60FZSw,31403,Pacific Time (US & Canada),-25200
Sat Apr 04 04:57:16 +0000 2009,218,253,818,True,28743486,en,tallahassee,7C785A,Sun Jun 21 20:46:26 +0000 2015,False,[u'Vejigante'],612723270308204545,en,0,False,#Vejigante by Buster Wolf will be released in August. Stany tuned for record release show/party info coming soon! https://t.co/UVC3BpuSNJ,1289,Quito,-18000
Fri Dec 19 04:51:05 +0000 2014,766,129,75,False,2931477039,en,810 ✈️ 818,C0DEED,Sun Jul 12 03:37:01 +0000 2015,False,NA,620074356140408832,en,0,False,For real. I don't even share beds. https://t.co/lseaRhHKPw,448,NA,NA
Sun May 15 21:50:25 +0000 2011,11775,105,300,True,299321871,en,NA,FFFFFF,Fri Jul 10 17:06:01 +0000 2015,False,NA,619553170600005632,en,875,False,"RT @Maisie_Williams: You heard him ladies and gents. Don't go to sea world🚨🚨🚨
@harry_styles https://t.co/NxMGIBzYdx",12437,Pacific Time (US & Canada),-25200
Tue Feb 10 07:33:46 +0000 2015,151,13,85,False,3016238743,en,Australia,C0DEED,Sat Jul 11 23:50:01 +0000 2015,False,NA,620017229950615553,en,2,False,"RT @Pokketsays: Had so much fun playing @Superfight today with @Ezekiel_III @ClevaGurl and @Wootystyle. Thanks for all the support, y'all! …",155,Adelaide,34200
Sun May 22 19:51:38 +0000 2011,1342,357,515,True,303391202,en,"Des Moines, IA",FCEBB6,Sat Jul 11 03:45:25 +0000 2015,False,NA,619714081931395072,en,0,False,I am sad tonight because chances are there will be a Minions 2 😒😑🔫,2818,Central Time (US & Canada),-18000
Sat Feb 21 11:58:01 +0000 2015,30,91,166,False,3049483995,en,Edinburgh,000000,Wed Jul 01 15:26:24 +0000 2015,False,NA,616266609703919616,en,3,False,Very pale Lilium mackliniae at Cluny House Gardens @scotgardens @scottishgdns @bigtreecountry http://t.co/Al58TyyPuk,43,NA,NA
